hasPeak.An_ecoA_20h_HA_1	hasPeak.An_ecoA_48h_HA_1	group	ID	Description	Count	GeneRatio	geneID
FALSE	TRUE	2	GO:0007165	signal transduction	39	39/1253	AN4953/AN4795/AN4743/AN4685/AN4447/AN8234/AN4189/AN3941/AN9463/AN10442/AN7028/AN7487/AN10999/AN7698/AN5973/AN6892/AN1404/AN10171/AN1168/AN1025/AN1017/AN0651/AN0449/AN0163/AN0113/AN0112/AN1573/AN10227/AN2062/AN2067/AN2430/AN2474/AN3435/AN3095/AN3090/AN2947/AN2761/AN5787/AN5341
FALSE	TRUE	2	GO:0006276	plasmid maintenance	1	1/1253	AN2303
FALSE	TRUE	2	GO:0006928	movement of cell or subcellular component	3	3/1253	AN4664/AN0651/AN1475
FALSE	TRUE	2	GO:0006949	syncytium formation	5	5/1253	AN4743/AN8071/AN4189/AN7297/AN10261
FALSE	TRUE	2	GO:0007049	cell cycle	53	53/1253	AN4963/AN4685/AN4601/AN4570/AN4417/AN4365/AN8071/AN8282/AN4263/AN10516/AN3941/AN9463/AN3739/AN7032/AN7487/AN7678/AN6070/AN10763/AN5885/AN6685/AN6749/AN1399/AN1398/AN1324/AN10171/AN1171/AN1017/AN10111/AN0651/AN0472/AN0253/AN0226/AN0113/AN9424/AN10193/AN1844/AN1922/AN2067/AN2071/AN2141/AN2143/AN2426/AN11344/AN2489/AN3435/AN3387/AN3090/AN2761/AN10336/AN5717/AN5631/AN5619/AN5517
FALSE	TRUE	2	GO:0007154	cell communication	56	56/1253	AN5010/AN4953/AN4795/AN4743/AN4716/AN4685/AN4447/AN8234/AN4189/AN3941/AN9463/AN10442/AN3636/AN3592/AN7388/AN7028/AN7487/AN10999/AN7698/AN6293/AN5973/AN10854/AN6892/AN6893/AN1404/AN10171/AN1168/AN1025/AN1017/AN0978/AN0651/AN0449/AN0163/AN0113/AN0112/AN12473/AN1573/AN10227/AN1731/AN1733/AN2062/AN2067/AN2180/AN2430/AN2474/AN2489/AN3435/AN3095/AN3090/AN2947/AN2903/AN2761/AN8540/AN5787/AN5774/AN5341
FALSE	TRUE	2	GO:0007163	establishment or maintenance of cell polarity	21	21/1253	AN4963/AN4953/AN4743/AN4685/AN7487/AN7698/AN5973/AN6685/AN1324/AN1171/AN1025/AN1017/AN0636/AN1475/AN1485/AN2067/AN2516/AN10396/AN3095/AN2936/AN2766
FALSE	TRUE	2	GO:0008219	cell death	3	3/1253	AN4758/AN3592/AN10673
FALSE	TRUE	2	GO:0019835	cytolysis	2	2/1253	AN3583/AN0163
FALSE	TRUE	2	GO:0016043	cellular component organization	114	114/1253	AN5011/AN11773/AN10622/AN4963/AN4953/AN4743/AN4707/AN4601/AN4579/AN4570/AN11910/AN4417/AN4416/AN4365/AN8863/AN8071/AN8170/AN8282/AN4218/AN4189/AN4034/AN3941/AN9463/AN3753/AN3696/AN3583/AN7297/AN7256/AN7149/AN7103/AN7032/AN7487/AN7545/AN10949/AN7677/AN7698/AN6297/AN6293/AN6070/AN10763/AN5885/AN5803/AN6685/AN10854/AN6892/AN6893/AN1399/AN1339/AN1324/AN10178/AN10171/AN1242/AN1171/AN1168/AN10164/AN1089/AN1085/AN1025/AN1017/AN0817/AN10111/AN0667/AN0651/AN0559/AN0472/AN0440/AN0429/AN0253/AN0163/AN0113/AN8877/AN1407/AN1408/AN1462/AN1475/AN10193/AN1485/AN1573/AN1921/AN1922/AN2011/AN2048/AN2062/AN2067/AN2071/AN2072/AN10261/AN2141/AN2143/AN2426/AN2477/AN11344/AN2516/AN9120/AN9116/AN11175/AN9062/AN3470/AN3466/AN3462/AN3176/AN3131/AN3095/AN3026/AN2886/AN2761/AN10336/AN8491/AN5100/AN5224/AN5774/AN5631/AN5619/AN5404
FALSE	TRUE	2	GO:0016458	gene silencing	8	8/1253	AN11773/AN4570/AN8282/AN10763/AN0253/AN2426/AN9120/AN9116
FALSE	TRUE	2	GO:0019725	cellular homeostasis	17	17/1253	AN12465/AN8791/AN8671/AN3973/AN10444/AN10949/AN6293/AN6107/AN1339/AN1168/AN1017/AN2072/AN2180/AN3435/AN5583/AN5378/AN5341
FALSE	TRUE	2	GO:0022402	cell cycle process	49	49/1253	AN4963/AN4685/AN4601/AN4570/AN4417/AN4365/AN8071/AN8282/AN4263/AN10516/AN3941/AN9463/AN7032/AN7487/AN7678/AN6070/AN10763/AN5885/AN6685/AN6749/AN1399/AN1324/AN1171/AN1017/AN10111/AN0651/AN0472/AN0253/AN0226/AN0113/AN9424/AN10193/AN1922/AN2067/AN2071/AN2141/AN2143/AN2426/AN11344/AN2489/AN3435/AN3387/AN3090/AN2761/AN10336/AN5717/AN5631/AN5619/AN5517
FALSE	TRUE	2	GO:0030029	actin filament-based process	20	20/1253	AN4963/AN4953/AN4743/AN4218/AN9463/AN3696/AN7032/AN7487/AN7698/AN5803/AN6685/AN1339/AN1324/AN1171/AN1025/AN0163/AN0113/AN1462/AN2067/AN2516
FALSE	TRUE	2	GO:0032196	transposition	1	1/1253	AN3048
FALSE	TRUE	2	GO:0032940	secretion by cell	4	4/1253	AN7487/AN2048/AN2076/AN3470
FALSE	TRUE	2	GO:0044764	multi-organism cellular process	24	24/1253	AN4685/AN3583/AN7346/AN7487/AN10763/AN5973/AN6892/AN1339/AN1025/AN1017/AN0817/AN0806/AN0651/AN0472/AN10059/AN1475/AN1573/AN10227/AN2011/AN2062/AN2067/AN2430/AN3090/AN5517
FALSE	TRUE	2	GO:0048522	positive regulation of cellular process	52	52/1253	AN4963/AN4743/AN4570/AN4558/AN11910/AN8170/AN8282/AN4263/AN4189/AN3941/AN9463/AN3739/AN3583/AN7346/AN7050/AN7487/AN6293/AN10763/AN5973/AN5803/AN6685/AN10854/AN6889/AN6892/AN6893/AN1339/AN1324/AN10171/AN1089/AN1025/AN1017/AN0817/AN0651/AN9424/AN1462/AN1485/AN1573/AN10227/AN11793/AN1844/AN1922/AN2011/AN2067/AN2430/AN11344/AN2489/AN11175/AN3435/AN3413/AN3369/AN3090/AN2761
FALSE	TRUE	2	GO:0048523	negative regulation of cellular process	36	36/1253	AN11773/AN4570/AN8282/AN4263/AN4034/AN3941/AN9463/AN7545/AN6293/AN6070/AN10763/AN5973/AN5803/AN6749/AN6892/AN10171/AN1017/AN0978/AN0974/AN10059/AN0253/AN0082/AN1462/AN1485/AN2067/AN2141/AN2143/AN2426/AN2430/AN2489/AN9120/AN9116/AN3435/AN3387/AN5787/AN5341
FALSE	TRUE	2	GO:0048869	cellular developmental process	45	45/1253	AN4953/AN4743/AN4716/AN4601/AN4570/AN11910/AN8071/AN8282/AN4263/AN10516/AN4189/AN7032/AN7487/AN7678/AN7698/AN6685/AN6749/AN10854/AN1339/AN1324/AN1171/AN1168/AN1017/AN0651/AN0636/AN0472/AN0082/AN1475/AN10193/AN1485/AN1539/AN2067/AN2071/AN2306/AN2426/AN2489/AN2516/AN9116/AN3470/AN3435/AN3387/AN3095/AN3090/AN2936/AN5619
FALSE	TRUE	2	GO:0050794	regulation of cellular process	162	162/1253	AN5052/AN11773/AN4963/AN4953/AN4933/AN10606/AN4795/AN4743/AN4685/AN12465/AN4570/AN4558/AN4521/AN11910/AN4447/AN10548/AN11112/AN8671/AN8655/AN8645/AN8643/AN11099/AN7951/AN8071/AN8111/AN8164/AN8170/AN8234/AN8282/AN4263/AN4189/AN4034/AN3973/AN3941/AN3868/AN9463/AN3769/AN10444/AN10442/AN3739/AN3684/AN3683/AN3637/AN3583/AN7346/AN7332/AN7297/AN10911/AN7190/AN7149/AN7103/AN7072/AN7050/AN7028/AN7487/AN7545/AN10999/AN7698/AN7819/AN6430/AN6392/AN6293/AN6070/AN10763/AN5973/AN5898/AN5803/AN6685/AN6747/AN6749/AN6832/AN10854/AN6889/AN6892/AN6893/AN9293/AN9395/AN1404/AN1339/AN1324/AN10171/AN1171/AN1168/AN10164/AN1089/AN1025/AN1017/AN0978/AN0974/AN0835/AN0817/AN0748/AN0738/AN0651/AN0568/AN0449/AN0440/AN10059/AN0253/AN0197/AN0163/AN0162/AN0113/AN0112/AN0082/AN9424/AN1406/AN1408/AN1462/AN10192/AN1475/AN10193/AN1485/AN1573/AN1678/AN10227/AN11793/AN1844/AN1867/AN1922/AN2011/AN2020/AN2025/AN2062/AN2067/AN2072/AN2141/AN2143/AN12120/AN2426/AN2430/AN2474/AN11344/AN2489/AN2516/AN9221/AN9120/AN9116/AN11165/AN11175/AN3435/AN3413/AN3387/AN3385/AN3369/AN3095/AN3090/AN3048/AN2947/AN2905/AN2901/AN2761/AN10336/AN8345/AN8414/AN8473/AN8506/AN5787/AN5717/AN5691/AN5631/AN5341
FALSE	TRUE	2	GO:0051301	cell division	17	17/1253	AN4963/AN4685/AN4496/AN9463/AN7032/AN7487/AN5885/AN6685/AN1324/AN1171/AN1025/AN0472/AN0113/AN1713/AN2067/AN3095/AN2886
FALSE	TRUE	2	GO:0051651	maintenance of location in cell	4	4/1253	AN4963/AN4685/AN4528/AN7698
FALSE	TRUE	2	GO:0051716	cellular response to stimulus	112	112/1253	AN5010/AN11773/AN4953/AN4795/AN4758/AN4743/AN4716/AN4707/AN4685/AN4587/AN4570/AN4558/AN4517/AN4467/AN4447/AN4365/AN8863/AN8837/AN8793/AN8671/AN8643/AN8078/AN8170/AN8234/AN4277/AN4272/AN4271/AN4189/AN3973/AN3941/AN9463/AN10442/AN3696/AN3636/AN3592/AN3583/AN7388/AN7103/AN7028/AN7487/AN10949/AN10999/AN7698/AN6293/AN6070/AN5985/AN10763/AN5973/AN5888/AN5885/AN5803/AN10854/AN6892/AN6893/AN1404/AN1339/AN10171/AN1242/AN1168/AN1139/AN1131/AN1085/AN1025/AN1017/AN0978/AN0797/AN0757/AN0651/AN0595/AN0568/AN0449/AN0423/AN0163/AN0113/AN0112/AN12473/AN1539/AN1573/AN10227/AN1731/AN1733/AN1743/AN1844/AN1932/AN2011/AN2062/AN2067/AN2072/AN2180/AN2430/AN2446/AN2474/AN2489/AN2503/AN2516/AN3435/AN3095/AN3090/AN2947/AN2903/AN2761/AN10336/AN8414/AN8540/AN5159/AN5787/AN5774/AN5751/AN10673/AN5404/AN5378/AN5341
FALSE	TRUE	2	GO:0061919	process utilizing autophagic mechanism	9	9/1253	AN4416/AN4189/AN1339/AN10171/AN1017/AN2048/AN2076/AN3470/AN2903
FALSE	TRUE	2	GO:0071554	cell wall organization or biogenesis	32	32/1253	AN5011/AN4953/AN4716/AN8007/AN8138/AN8149/AN4189/AN3583/AN7149/AN7032/AN7698/AN7847/AN6293/AN10763/AN5885/AN1242/AN1168/AN1017/AN0667/AN0636/AN0472/AN8877/AN1554/AN1573/AN1798/AN2062/AN2067/AN2303/AN2359/AN2516/AN3095/AN5619
FALSE	TRUE	2	GO:0071804	cellular potassium ion transport	1	1/1253	AN5636
FALSE	TRUE	2	GO:1990748	cellular detoxification	1	1/1253	AN4517
FALSE	TRUE	2	GO:0006808	regulation of nitrogen utilization	1	1/1253	AN1339
FALSE	TRUE	2	GO:0000742	karyogamy involved in conjugation with cellular fusion	2	2/1253	AN0651/AN2062
FALSE	TRUE	2	GO:0000743	nuclear migration involved in conjugation with cellular fusion	2	2/1253	AN0651/AN1475
FALSE	TRUE	2	GO:0003006	developmental process involved in reproduction	34	34/1253	AN4716/AN4601/AN4570/AN8071/AN8282/AN4263/AN10516/AN4189/AN3634/AN7487/AN7678/AN7698/AN5798/AN6749/AN6866/AN1339/AN1171/AN1017/AN0651/AN0568/AN0472/AN0082/AN10192/AN10193/AN1539/AN2071/AN2426/AN2489/AN3435/AN3387/AN3385/AN3095/AN3090/AN5619
FALSE	TRUE	2	GO:0022413	reproductive process in single-celled organism	14	14/1253	AN4685/AN4601/AN8071/AN8282/AN10516/AN7678/AN1171/AN1017/AN0651/AN10193/AN2071/AN2489/AN3090/AN5619
FALSE	TRUE	2	GO:0044703	multi-organism reproductive process	42	42/1253	AN4685/AN4601/AN4570/AN8071/AN4263/AN10516/AN4189/AN3634/AN3583/AN7388/AN7487/AN7678/AN5973/AN5798/AN6749/AN6866/AN6892/AN1339/AN1171/AN1025/AN1017/AN0651/AN0472/AN0082/AN1475/AN10193/AN1539/AN1573/AN10227/AN2011/AN2062/AN2071/AN2426/AN2430/AN2489/AN3435/AN3387/AN3385/AN3095/AN3090/AN5619/AN5517
FALSE	TRUE	2	GO:0051321	meiotic cell cycle	27	27/1253	AN4601/AN4570/AN4365/AN8071/AN8282/AN4263/AN10516/AN3941/AN7678/AN6070/AN10763/AN6749/AN1399/AN10171/AN1171/AN1017/AN0651/AN0472/AN10193/AN1844/AN2071/AN2426/AN2489/AN3435/AN3387/AN3090/AN5619
FALSE	TRUE	2	GO:0070871	cell wall organization involved in conjugation with cellular fusion	1	1/1253	AN0472
FALSE	TRUE	2	GO:0090220	chromosome localization to nuclear envelope involved in homologous chromosome segregation	1	1/1253	AN8282
FALSE	TRUE	2	GO:1903046	meiotic cell cycle process	25	25/1253	AN4601/AN4570/AN4365/AN8071/AN8282/AN4263/AN10516/AN3941/AN7678/AN6070/AN10763/AN6749/AN1399/AN1171/AN1017/AN0651/AN0472/AN10193/AN2071/AN2426/AN2489/AN3435/AN3387/AN3090/AN5619
FALSE	TRUE	2	GO:2000241	regulation of reproductive process	22	22/1253	AN8071/AN8282/AN4263/AN3941/AN3583/AN7487/AN7698/AN10763/AN5973/AN6749/AN6892/AN1339/AN1025/AN1017/AN0651/AN1573/AN10227/AN2011/AN2430/AN3435/AN3387/AN3090
FALSE	TRUE	2	GO:2000242	negative regulation of reproductive process	4	4/1253	AN6749/AN1017/AN2430/AN3387
FALSE	TRUE	2	GO:2000243	positive regulation of reproductive process	16	16/1253	AN4263/AN3941/AN3583/AN7487/AN7698/AN5973/AN6892/AN1025/AN1017/AN0651/AN1573/AN10227/AN2011/AN2430/AN3435/AN3090
FALSE	TRUE	2	GO:0007155	cell adhesion	8	8/1253	AN4189/AN7346/AN10763/AN0817/AN0797/AN10227/AN2489/AN9116
FALSE	TRUE	2	GO:0044406	adhesion of symbiont to host	1	1/1253	AN0797
FALSE	TRUE	2	GO:0023051	regulation of signaling	17	17/1253	AN4953/AN8234/AN4189/AN9463/AN10442/AN7028/AN5973/AN6892/AN10171/AN0651/AN0449/AN0113/AN0112/AN2430/AN3095/AN3090/AN5787
FALSE	TRUE	2	GO:0023056	positive regulation of signaling	2	2/1253	AN4189/AN3090
FALSE	TRUE	2	GO:0023057	negative regulation of signaling	5	5/1253	AN5973/AN6892/AN10171/AN2430/AN5787
FALSE	TRUE	2	GO:0007275	multicellular organism development	22	22/1253	AN4716/AN8071/AN4263/AN4189/AN3634/AN7487/AN7678/AN7698/AN5798/AN6866/AN1171/AN1017/AN0651/AN0568/AN0082/AN10192/AN10193/AN1539/AN2489/AN3435/AN3385/AN3095
FALSE	TRUE	2	GO:0032922	circadian regulation of gene expression	2	2/1253	AN1485/AN3435
FALSE	TRUE	2	GO:0051239	regulation of multicellular organismal process	1	1/1253	AN7698
FALSE	TRUE	2	GO:0051240	positive regulation of multicellular organismal process	1	1/1253	AN7698
FALSE	TRUE	2	GO:0009653	anatomical structure morphogenesis	37	37/1253	AN4953/AN4743/AN4601/AN4570/AN8071/AN4263/AN10516/AN4189/AN7297/AN7032/AN7487/AN7678/AN7698/AN6685/AN6749/AN1339/AN1171/AN1168/AN1017/AN0651/AN0472/AN0082/AN1475/AN10193/AN1485/AN2067/AN2071/AN10261/AN2426/AN2489/AN2516/AN3470/AN3435/AN3387/AN3090/AN2936/AN5619
FALSE	TRUE	2	GO:0007568	aging	4	4/1253	AN11910/AN10854/AN1324/AN9116
FALSE	TRUE	2	GO:0009847	spore germination	5	5/1253	AN8800/AN5885/AN1242/AN1017/AN0129
FALSE	TRUE	2	GO:0048646	anatomical structure formation involved in morphogenesis	30	30/1253	AN4743/AN4601/AN4570/AN8071/AN4263/AN10516/AN4189/AN7297/AN7032/AN7487/AN7678/AN6749/AN1339/AN1171/AN1017/AN0651/AN0472/AN0082/AN10193/AN2067/AN2071/AN10261/AN2426/AN2489/AN3470/AN3435/AN3387/AN3090/AN2936/AN5619
FALSE	TRUE	2	GO:0043934	sporulation	34	34/1253	AN4953/AN4716/AN4601/AN4570/AN8071/AN4263/AN10516/AN4189/AN7032/AN7678/AN6749/AN1324/AN1171/AN1168/AN1017/AN0651/AN0636/AN0472/AN0082/AN10193/AN1485/AN1539/AN2067/AN2071/AN2306/AN2426/AN2489/AN3470/AN3435/AN3387/AN3095/AN3090/AN2936/AN5619
FALSE	TRUE	2	GO:0044111	development involved in symbiotic interaction	2	2/1253	AN3583/AN10763
FALSE	TRUE	2	GO:0048856	anatomical structure development	49	49/1253	AN4953/AN4743/AN4716/AN4601/AN4570/AN8071/AN4263/AN10516/AN4189/AN3634/AN7297/AN7032/AN7487/AN7678/AN7698/AN5798/AN6685/AN6749/AN6866/AN1339/AN1324/AN1171/AN1168/AN1017/AN0651/AN0636/AN0568/AN0472/AN0082/AN10192/AN1475/AN10193/AN1485/AN1539/AN2067/AN2071/AN10261/AN2306/AN2426/AN2489/AN2516/AN3470/AN3435/AN3387/AN3385/AN3095/AN3090/AN2936/AN5619
FALSE	TRUE	2	GO:0050793	regulation of developmental process	21	21/1253	AN4953/AN11910/AN8071/AN8282/AN4263/AN7487/AN7698/AN6685/AN6749/AN1339/AN1171/AN0651/AN0129/AN0082/AN1475/AN1485/AN2067/AN2516/AN3435/AN3387/AN3090
FALSE	TRUE	2	GO:0051093	negative regulation of developmental process	5	5/1253	AN4263/AN6749/AN0082/AN3435/AN3387
FALSE	TRUE	2	GO:0051094	positive regulation of developmental process	3	3/1253	AN4263/AN7698/AN3435
FALSE	TRUE	2	GO:0022403	cell cycle phase	1	1/1253	AN3941
FALSE	TRUE	2	GO:0007623	circadian rhythm	3	3/1253	AN1485/AN1539/AN3435
FALSE	TRUE	2	GO:0043902	positive regulation of multi-organism process	16	16/1253	AN4263/AN3583/AN7346/AN7487/AN10763/AN5973/AN6892/AN1025/AN1017/AN0651/AN1573/AN10227/AN2011/AN2430/AN3435/AN3090
FALSE	TRUE	2	GO:0044089	positive regulation of cellular component biogenesis	9	9/1253	AN4963/AN4743/AN9463/AN7487/AN5803/AN1324/AN1462/AN11344/AN11175
FALSE	TRUE	2	GO:0045785	positive regulation of cell adhesion	3	3/1253	AN7346/AN10763/AN10227
FALSE	TRUE	2	GO:0048584	positive regulation of response to stimulus	9	9/1253	AN4189/AN3583/AN7487/AN10171/AN12473/AN11793/AN2067/AN3090/AN8414
FALSE	TRUE	2	GO:0051050	positive regulation of transport	4	4/1253	AN7487/AN1339/AN1089/AN1017
FALSE	TRUE	2	GO:1903829	positive regulation of cellular protein localization	2	2/1253	AN1089/AN1017
FALSE	TRUE	2	GO:1904951	positive regulation of establishment of protein localization	2	2/1253	AN1089/AN1017
FALSE	TRUE	2	GO:0043433	negative regulation of DNA-binding transcription factor activity	1	1/1253	AN1485
FALSE	TRUE	2	GO:0043901	negative regulation of multi-organism process	4	4/1253	AN6749/AN1017/AN10059/AN3387
FALSE	TRUE	2	GO:0048585	negative regulation of response to stimulus	8	8/1253	AN5973/AN6892/AN1339/AN10171/AN1017/AN0978/AN2430/AN5787
FALSE	TRUE	2	GO:0051051	negative regulation of transport	2	2/1253	AN1339/AN5341
FALSE	TRUE	2	GO:1903665	negative regulation of asexual reproduction	3	3/1253	AN4263/AN0082/AN3435
FALSE	TRUE	2	GO:1903828	negative regulation of cellular protein localization	2	2/1253	AN1339/AN5631
FALSE	TRUE	2	GO:0030155	regulation of cell adhesion	5	5/1253	AN4189/AN7346/AN10763/AN10227/AN2489
FALSE	TRUE	2	GO:0032879	regulation of localization	11	11/1253	AN7297/AN7149/AN7487/AN1339/AN1324/AN1089/AN1017/AN0651/AN0568/AN5631/AN5341
FALSE	TRUE	2	GO:0042752	regulation of circadian rhythm	3	3/1253	AN1485/AN1539/AN3435
FALSE	TRUE	2	GO:0043900	regulation of multi-organism process	21	21/1253	AN8071/AN4263/AN3583/AN7346/AN7487/AN10763/AN5973/AN6749/AN6892/AN1339/AN1025/AN1017/AN0651/AN10059/AN1573/AN10227/AN2011/AN2430/AN3435/AN3387/AN3090
FALSE	TRUE	2	GO:0044087	regulation of cellular component biogenesis	14	14/1253	AN4963/AN4743/AN8282/AN9463/AN7487/AN5803/AN1339/AN1324/AN10171/AN1408/AN1462/AN11344/AN2516/AN11175
FALSE	TRUE	2	GO:0048518	positive regulation of biological process	57	57/1253	AN4963/AN4933/AN4743/AN4570/AN4558/AN11910/AN8645/AN8170/AN8282/AN4263/AN4189/AN3941/AN9463/AN3739/AN3583/AN7346/AN7050/AN7487/AN7698/AN6293/AN10763/AN5973/AN5803/AN6685/AN10854/AN6889/AN6892/AN6893/AN1339/AN1324/AN10171/AN1089/AN1025/AN1017/AN0817/AN0651/AN9424/AN12473/AN1462/AN1485/AN1573/AN10227/AN11793/AN1844/AN1922/AN2011/AN2067/AN2430/AN11344/AN2489/AN11175/AN3435/AN3413/AN3369/AN3090/AN2761/AN8414
FALSE	TRUE	2	GO:0048519	negative regulation of biological process	43	43/1253	AN11773/AN4965/AN4570/AN8282/AN4263/AN4034/AN3941/AN9463/AN7545/AN6293/AN6070/AN10763/AN5973/AN5803/AN6749/AN6892/AN6893/AN11250/AN1339/AN10171/AN10164/AN1017/AN0978/AN0974/AN10059/AN0253/AN0082/AN1462/AN1485/AN2067/AN2141/AN2143/AN2426/AN2430/AN2489/AN9120/AN9116/AN3435/AN3387/AN5787/AN5631/AN5451/AN5341
FALSE	TRUE	2	GO:0048583	regulation of response to stimulus	28	28/1253	AN4953/AN4570/AN8234/AN4189/AN9463/AN10442/AN3583/AN7028/AN7487/AN5973/AN6892/AN1339/AN10171/AN1017/AN0978/AN0651/AN0568/AN0449/AN0113/AN0112/AN12473/AN11793/AN2067/AN2430/AN3095/AN3090/AN8414/AN5787
FALSE	TRUE	2	GO:1903664	regulation of asexual reproduction	4	4/1253	AN4263/AN0651/AN0082/AN3435
FALSE	TRUE	2	GO:0006950	response to stress	68	68/1253	AN5010/AN4758/AN4716/AN4685/AN4587/AN4570/AN4517/AN4467/AN4365/AN8837/AN8671/AN8643/AN8170/AN4272/AN4271/AN4189/AN3973/AN3941/AN3636/AN3592/AN3583/AN7388/AN7103/AN10949/AN7678/AN7698/AN6293/AN6070/AN10763/AN5973/AN5803/AN10854/AN6892/AN6893/AN10171/AN1131/AN1017/AN0978/AN0757/AN10111/AN0651/AN0423/AN0163/AN12473/AN10193/AN1493/AN1539/AN1731/AN1733/AN1844/AN1932/AN2062/AN2067/AN2180/AN2446/AN2503/AN2516/AN3095/AN2903/AN2761/AN10336/AN8414/AN8540/AN5159/AN5774/AN5751/AN10673/AN5404
FALSE	TRUE	2	GO:0009605	response to external stimulus	30	30/1253	AN5010/AN4716/AN4685/AN3636/AN3592/AN3583/AN7388/AN6293/AN5973/AN10854/AN6893/AN10171/AN1168/AN1131/AN1017/AN0978/AN0163/AN12473/AN1539/AN1731/AN1733/AN11793/AN1844/AN2067/AN2180/AN2489/AN3095/AN2903/AN8540/AN5774
FALSE	TRUE	2	GO:0009607	response to biotic stimulus	23	23/1253	AN5010/AN4685/AN12465/AN3941/AN3636/AN3583/AN7487/AN7698/AN6293/AN10854/AN6892/AN1131/AN1017/AN0568/AN0163/AN12473/AN1418/AN11793/AN1844/AN2516/AN3095/AN8414/AN5774
FALSE	TRUE	2	GO:0009628	response to abiotic stimulus	29	29/1253	AN4716/AN4685/AN4467/AN8643/AN4189/AN3592/AN3583/AN7388/AN7103/AN7698/AN6293/AN10763/AN6892/AN1339/AN1168/AN1017/AN10111/AN0651/AN0423/AN1485/AN1493/AN1539/AN1844/AN2446/AN3435/AN3095/AN2761/AN10673/AN5341
FALSE	TRUE	2	GO:0009719	response to endogenous stimulus	2	2/1253	AN3941/AN10949
FALSE	TRUE	2	GO:0042221	response to chemical	60	60/1253	AN11773/AN4758/AN4716/AN4707/AN4558/AN4517/AN4478/AN4477/AN4467/AN8863/AN8837/AN8793/AN8643/AN8078/AN4277/AN4189/AN3973/AN3696/AN7388/AN7487/AN10949/AN7698/AN6293/AN5985/AN10763/AN5888/AN5885/AN5803/AN6892/AN1404/AN1339/AN1242/AN1139/AN1131/AN1085/AN1025/AN1017/AN0797/AN0757/AN0651/AN0595/AN0568/AN0423/AN9010/AN1743/AN1932/AN2011/AN2062/AN2072/AN2349/AN2430/AN2489/AN3435/AN3095/AN3090/AN2761/AN8414/AN5159/AN5378/AN5341
FALSE	TRUE	2	GO:0031503	protein-containing complex localization	7	7/1253	AN4218/AN7487/AN11250/AN1339/AN12473/AN3413/AN2737
FALSE	TRUE	2	GO:0033036	macromolecule localization	46	46/1253	AN11773/AN10622/AN4963/AN4743/AN4685/AN4528/AN4416/AN9460/AN8282/AN4218/AN4207/AN9463/AN7149/AN7487/AN10949/AN11250/AN1339/AN1324/AN1089/AN1017/AN0777/AN0651/AN0559/AN0429/AN0225/AN0112/AN12473/AN1475/AN2011/AN2048/AN2062/AN2071/AN2076/AN2142/AN2143/AN2164/AN2474/AN2477/AN3470/AN3413/AN3026/AN2903/AN2737/AN5100/AN5717/AN5631
FALSE	TRUE	2	GO:0036214	contractile ring localization	2	2/1253	AN4963/AN9463
FALSE	TRUE	2	GO:0051234	establishment of localization	158	158/1253	AN11774/AN10622/AN4963/AN11770/AN4904/AN4743/AN4664/AN4590/AN4517/AN4481/AN4478/AN4477/AN4417/AN4416/AN8864/AN11138/AN8814/AN8813/AN8791/AN8768/AN8762/AN8737/AN7898/AN7972/AN9460/AN8282/AN4277/AN4218/AN4207/AN4180/AN4101/AN4019/AN3915/AN10468/AN3696/AN7351/AN7344/AN7297/AN7295/AN7272/AN7149/AN10876/AN7027/AN12060/AN7487/AN7510/AN7545/AN10949/AN7648/AN10999/AN10982/AN6443/AN6429/AN6344/AN6254/AN6238/AN6237/AN6127/AN6107/AN5917/AN5803/AN6642/AN6757/AN6769/AN6770/AN6778/AN6782/AN6783/AN6848/AN11250/AN6940/AN6960/AN9392/AN10186/AN1339/AN10178/AN1290/AN1168/AN1110/AN1109/AN1089/AN1085/AN1017/AN0890/AN0777/AN0739/AN0651/AN0568/AN0559/AN0429/AN0404/AN10075/AN0253/AN0252/AN0225/AN0218/AN0112/AN9010/AN8962/AN8957/AN8955/AN8912/AN8877/AN12473/AN1462/AN1475/AN1481/AN1788/AN2011/AN2043/AN2048/AN2062/AN2071/AN2072/AN2076/AN2142/AN2164/AN10267/AN2344/AN2349/AN2465/AN2474/AN2475/AN2477/AN2516/AN9107/AN3470/AN3413/AN3204/AN3195/AN3026/AN2958/AN9456/AN2737/AN8344/AN8365/AN8366/AN8467/AN8507/AN8540/AN5100/AN5104/AN5224/AN5236/AN5763/AN5743/AN5742/AN5734/AN5717/AN5636/AN5551/AN5404/AN5378/AN5356/AN10662/AN5347/AN5341/AN5302
FALSE	TRUE	2	GO:0051235	maintenance of location	4	4/1253	AN4963/AN4685/AN4528/AN7698
FALSE	TRUE	2	GO:0051641	cellular localization	51	51/1253	AN11773/AN4963/AN4743/AN4685/AN4664/AN4528/AN4417/AN4416/AN9460/AN8282/AN4218/AN4207/AN9463/AN7487/AN7545/AN7698/AN5803/AN6892/AN11250/AN10186/AN1339/AN1168/AN1089/AN1017/AN0777/AN0651/AN0559/AN0429/AN0253/AN0112/AN12473/AN1475/AN2011/AN2048/AN2062/AN2071/AN2142/AN2143/AN2164/AN2474/AN2516/AN3470/AN3413/AN3026/AN2903/AN2737/AN5100/AN5717/AN5631/AN5404/AN5341
FALSE	TRUE	2	GO:0061842	microtubule organizing center localization	2	2/1253	AN4417/AN5404
FALSE	TRUE	2	GO:0051707	response to other organism	4	4/1253	AN3583/AN1131/AN12473/AN11793
